,age,is_selfie_verified,gender,schools,city,show_gender_on_profile,relationship_intent,sexual_orientations,hide_age,hide_distance,is_traveling,custom_gender,zodiac_sign,height,education_level,relationship_type,workout,professions,company_name,has_face
3431,23.0,False,,,Groningen,0.0,,,,,,,Leo,187.0,,,Never,,,True
3432,30.0,False,,,Groningen,0.0,Long-term partner,,,,,,Leo,,,Monogamy,Often,Social worker,,True
3433,23.0,True,F,Rijksuniversiteit Groningen,Zwolle,1.0,Still figuring it out,,,,0.0,,Gemini,,In Grad School,Monogamy,Sometimes,Juridisch medewerker,,True
3434,25.0,True,,,Amsterdam,0.0,New friends,,,,,,,,,,Sometimes,Leerkracht,,True
3435,20.0,False,F,Rijksuniversiteit Groningen,Groningen,1.0,,Straight,,,,,Gemini,,Bachelors,,,Shiftleider,Albert Heijn,True
3436,26.0,True,,Rijksuniversiteit Groningen,Groningen,0.0,Still figuring it out,,,,,,Aquarius,174.0,Masters,Monogamy,Sometimes,Online Marketeer,,True
3437,30.0,False,F,,,,,,,,,,Sagittarius,,,,Often,,,True
3438,24.0,False,,,Groningen,0.0,Still figuring it out,,,,,,,179.0,,,,,,True
3439,22.0,False,,,Groningen,0.0,Still figuring it out,,,,,,,,,,,,,True
3440,25.0,False,,,Groningen,0.0,Still figuring it out,,,,,,Aquarius,,In Grad School,Monogamy,Sometimes,,,True
3441,19.0,False,,University of Groningen,Groningen,0.0,,,,,,,Cancer,173.0,Bachelors,,Sometimes,teacher,,True
3442,22.0,True,,Noorderpoort,Siddeburen,0.0,"Long-term, open to short",,,,,,Leo,,Trade School,,Everyday,Doktersassistente,ICON,True
3443,22.0,False,,Rijksuniversiteit Groningen,Groningen,0.0,,,,,,,,,,,,,,True
3444,25.0,True,,,Amsterdam,0.0,,,,,,,,187.0,Bachelors,,Often,Marketing Manager,,True
3445,21.0,False,,,,0.0,Still figuring it out,,,,,,Cancer,,,,Often,,,True
3446,25.0,False,,Toegepaste Biologie,'s-Hertogenbosch,0.0,,,,,,,Aries,,In Grad School,,,,,True
3447,23.0,False,,Hanzehogeschool Groningen,Groningen,0.0,Short-term fun,,,,,,Capricorn,,In Grad School,,,,,True
3448,42.0,True,,,,0.0,,,,,,,,,,,,,,True
3449,27.0,False,F,Geneeskunde,,,Long-term partner,,,,,,Aries,,PhD,Monogamy,Sometimes,Arts,,True
3450,24.0,False,,"Rijksuniversiteit Groningen, psychologie",Groningen,0.0,,,,,,,Taurus,,,,,,,True
3451,32.0,False,,Hanzehogeschool Groningen,Groningen,0.0,"Long-term, open to short",,,,,,Taurus,,,Monogamy,,Medewerker Toetscentrum,Hanze Hogeschool Groningen,True
3452,27.0,False,F,,Groningen,,,,,,0.0,,Leo,,,Monogamy,,SEA-specialist,,False
3453,22.0,True,,Saint Cloud State University,Groningen,0.0,,,0.0,0.0,0.0,,Aquarius,,Bachelors,,Often,SEO specialist,,True
3454,24.0,False,,,,0.0,,,0.0,1.0,1.0,,Scorpio,165.0,Bachelors,,,Event Planner,Magasta,True
3455,48.0,True,,Universiteit,Groningen,0.0,"Long-term, open to short",,,,,,Leo,,Masters,Monogamy,Sometimes,Projectleider,,True
3456,23.0,False,,Paris Lodron Universität Salzburg,Salzburg,0.0,Long-term partner,,,,,,,,,,,,,True
3457,23.0,True,F,Hogeschool Van Hall Larenstein,Peizermade,1.0,,,,,0.0,,Scorpio,,In Grad School,,,bediening,Grand café Fire,True
